topic_id,category_id,post_count,avg_score
10855,7,30,215.63333333333335
108586,19,1,61.4
1085,21,5,37.44
108630,19,1,66.6
10863,8,4,87.35000000000001
108640,19,1,282.6
108680,19,6,70.7
108741,7,5,100.64
108813,19,1,68.8
108939,19,69,655.776811594203
10897,21,3,55.06666666666666
108991,19,3,112.86666666666667
109032,19,15,210.29333333333332
109080,19,1,5462.2
109107,19,2,46.1
109112,19,8,197.92499999999998
109218,19,1,3328.8
109227,19,49,6998.873469387754
109336,19,2,118.10000000000001
10933,7,3,115.66666666666669
10936,7,7,149.54285714285714
109399,7,5,357.56
109422,19,2,87.9
10948,7,2,1312.0
109545,19,29,816.3793103448273
109548,19,2,807.7
109578,21,2,2092.7999999999997
10958,7,3,218.6
1095,21,3,69.39999999999999
109638,21,2,852.0
109674,19,5,758.64
10969,7,3,23.26666666666667
10970,8,1,80.0
10972,8,6,114.39999999999999
10973,14,2,509.5
109748,19,2,23.1
10978,8,1,603.2
109802,19,2,49.7
109849,7,7,654.8
10994,8,1,97.6
109973,7,4,4868.05
109988,7,4,168.0
110026,19,11,1289.1636363636362
11003,7,7,444.82857142857137
11004,8,1,60.6
110050,19,13,309.6
110107,21,2,296.3
110145,19,326,205.90245398773004
110169,21,2,7472.4
110205,21,2,30.2
110235,7,1,374.0
110251,21,1,290.2
110260,19,4,950.15
110277,19,1,141.4
11033,8,2,134.6
11037,7,5,33.84
11043,21,1,37.2
110462,19,1,463.0
110523,19,7,724.1428571428571
11057,8,1,43.6
110582,19,2,1702.7
11064,21,1,548.2
110660,19,1,9754.0
11069,21,6,40.63333333333333
110700,7,7,2377.571428571428
11070,7,5,41.08
11071,7,1,29.2
110734,8,1,2312.8
110739,19,2,44.2
110763,7,7,130.9714285714286
110770,7,2,429.2
110772,21,3,32.199999999999996
11077,8,2,818.8
1107,7,10,56.44
110813,19,1,81.2
110837,7,10,10718.58
110849,8,5,1820.8400000000001
110864,7,3,375.2666666666666
110889,7,3,429.53333333333336
110900,19,4,111.10000000000001
110942,19,3,153.0
110977,7,11,1157.4545454545455
11097,21,13,30.169230769230772
111000,7,14,385.2714285714286
11104,8,7,76.34285714285714
111053,7,1,101.4
111072,21,1,2260.6
111081,7,2,112.60000000000001
11110,7,2,537.2
11113,7,3,1683.6666666666667
11115,7,1,339.4
111166,19,2,60.4
111170,19,2,45.800000000000004
111182,21,8,891.625
111208,7,5,1956.2
11128,7,2,193.20000000000002
111309,19,1,21.0
111375,7,4,882.8
111378,7,4,280.75
111379,19,1,815.8
111418,7,5,114.67999999999999
11143,7,4,2954.3
11146,21,4,19.349999999999998
111471,7,49,1915.2816326530615
111485,19,1,235.8
111491,7,8,316.29999999999995
111514,21,7,8055.942857142857
111604,7,6,1266.7
111654,14,1,1595.6
111673,7,7,1600.4857142857145
11169,21,68,124.95882352941189
111762,21,1,92.4
111794,7,1,134.6
111805,7,6,1315.8
111812,8,19,1252.1157894736841
111820,19,1,275.8
111966,7,4,429.25
111988,19,3,162.33333333333331
112027,7,54,8666.14074074074
11202,21,4,31.75
1120,7,3,328.06666666666666
